iter	Logloss
0	0.6778825321
1	0.6647262128
2	0.6542243577
3	0.6452711359
4	0.6375309943
5	0.6313645228
6	0.6260470842
7	0.6212671868
8	0.6182909755
9	0.6130342471
10	0.6084196437
11	0.6048490509
12	0.5999768533
13	0.5961706783
14	0.5925164241
15	0.5899782259
16	0.5875091208
17	0.5860423178
18	0.5837174432
19	0.5810239259
20	0.579401165
21	0.5774265069
22	0.5754333395
23	0.573441679
24	0.5721235776
25	0.5707709313
26	0.5688850153
27	0.5673415169
28	0.5666045712
29	0.5656512083
30	0.5633895244
31	0.5614120847
32	0.5602409443
33	0.5585551553
34	0.5574738296
35	0.5559458823
36	0.5542976416
37	0.5523055801
38	0.5503802741
39	0.5491311294
40	0.5473844561
41	0.5473210227
42	0.5468796742
43	0.5458586757
44	0.5451245184
45	0.5445619535
46	0.5444496215
47	0.5442773464
48	0.5435969046
49	0.5424935761
50	0.5423534937
51	0.5415765986
52	0.541066795
53	0.5410115622
54	0.5405669127
55	0.5404676599
56	0.5403580633
57	0.5398751238
58	0.5373362759
59	0.5371591735
60	0.5365997906
61	0.5362945417
62	0.5351484998
63	0.5345859
64	0.5341352823
65	0.5340804927
66	0.5327692949
67	0.5324311113
68	0.5318688802
69	0.5316514822
70	0.5315656833
71	0.5314000403
72	0.531375
73	0.5308915334
74	0.5305449498
75	0.5305363671
76	0.5292883463
77	0.5292574501
78	0.5285829508
79	0.5281962505
80	0.5281618626
81	0.5276822405
82	0.5273619518
83	0.5273613511
84	0.527329974
85	0.5272746322
86	0.5271407702
87	0.5268990997
88	0.5265515964
89	0.5263950851
90	0.526177986
91	0.5257893851
92	0.5254669571
93	0.525397894
94	0.5251957118
95	0.5251878041
96	0.52501617
97	0.5246443376
98	0.5244472469
99	0.5243812718
100	0.523988131
101	0.5233705157
102	0.5231767007
103	0.5212347276
104	0.5209063481
105	0.5205520703
106	0.5202825131
107	0.5199368649
108	0.5198598089
109	0.5197891929
110	0.5186961087
111	0.5179549875
112	0.5168647327
113	0.5167941257
114	0.5158382832
115	0.5155311919
116	0.5149673265
117	0.5135314872
118	0.5117198192
119	0.5116011056
120	0.5113490693
121	0.5112090863
122	0.5107426953
123	0.5104218923
124	0.5098873376
125	0.5094081842
126	0.5093665972
127	0.5089716365
128	0.5081974625
129	0.5078858863
130	0.5076511687
131	0.5072328412
132	0.5070475508
133	0.5069777365
134	0.50678448
135	0.5065853492
136	0.5061518752
137	0.5056551147
138	0.5052352358
139	0.505215669
140	0.5047206372
141	0.5047092487
142	0.5046647494
143	0.504646104
144	0.5042910436
145	0.5042432205
146	0.5042207671
147	0.5039586588
148	0.5039454969
149	0.5031850295
