iter	Passed	Remaining
0	40	6057
1	80	5957
2	124	6119
3	145	5321
4	183	5329
5	219	5273
6	246	5043
7	283	5029
8	300	4703
9	343	4810
10	374	4735
11	405	4659
12	447	4715
13	488	4748
14	533	4801
15	578	4842
16	631	4937
17	651	4776
18	706	4872
19	738	4802
20	762	4683
21	805	4685
22	844	4663
23	882	4634
24	927	4636
25	967	4612
26	1001	4564
27	1035	4509
28	1070	4465
29	1109	4437
30	1147	4405
31	1183	4362
32	1216	4314
33	1248	4261
34	1282	4213
35	1323	4190
36	1357	4145
37	1388	4093
38	1425	4057
39	1459	4013
40	1500	3989
41	1525	3922
42	1570	3907
43	1605	3868
44	1653	3857
45	1699	3843
46	1736	3806
47	1781	3785
48	1825	3763
49	1867	3735
50	1906	3701
51	1945	3666
52	2031	3718
53	2047	3639
54	2087	3605
55	2122	3562
56	2163	3529
57	2199	3489
58	2241	3457
59	2280	3420
60	2311	3372
61	2359	3348
62	2390	3301
63	2421	3253
64	2454	3209
65	2469	3143
66	2500	3097
67	2536	3058
68	2568	3015
69	2603	2975
70	2635	2932
71	2670	2892
72	2684	2831
73	2719	2793
74	2753	2753
75	2766	2693
76	2798	2652
77	2837	2618
78	2870	2579
79	2905	2542
80	2921	2489
81	2951	2447
82	2989	2412
83	2999	2357
84	3032	2319
85	3065	2281
86	3095	2241
87	3127	2203
88	3162	2167
89	3196	2131
90	3230	2094
91	3267	2059
92	3301	2023
93	3334	1986
94	3367	1949
95	3394	1909
96	3426	1872
97	3460	1836
98	3503	1805
99	3537	1768
100	3566	1730
101	3599	1693
102	3632	1657
103	3664	1621
104	3696	1584
105	3727	1547
106	3759	1510
107	3791	1474
108	3822	1437
109	3857	1402
110	3887	1365
111	3917	1329
112	3948	1293
113	3979	1256
114	4009	1220
115	4040	1184
116	4073	1148
117	4105	1113
118	4136	1077
119	4171	1042
120	4201	1007
121	4233	971
122	4263	935
123	4313	904
124	4342	868
125	4372	832
126	4402	797
127	4432	761
128	4461	726
129	4496	691
130	4527	656
131	4560	621
132	4592	587
133	4624	552
134	4658	517
135	4691	482
136	4723	448
137	4755	413
138	4791	379
139	4835	345
140	4870	310
141	4904	276
142	4938	241
143	4970	207
144	5001	172
145	5035	137
146	5069	103
147	5101	68
148	5132	34
149	5169	0
