iter	Passed	Remaining
0	233	23069
1	299	14671
2	359	11638
3	420	10088
4	481	9139
5	542	8503
6	593	7883
7	648	7461
8	702	7098
9	762	6858
10	820	6635
11	874	6413
12	937	6275
13	996	6124
14	1058	5996
15	1124	5906
16	1181	5767
17	1233	5619
18	1285	5482
19	1335	5343
20	1395	5248
21	1448	5134
22	1501	5027
23	1553	4919
24	1607	4821
25	1656	4715
26	1709	4621
27	1760	4526
28	1813	4439
29	1866	4355
30	1919	4271
31	1970	4186
32	2023	4107
33	2077	4033
34	2138	3971
35	2191	3895
36	2256	3841
37	2317	3781
38	2375	3714
39	2447	3670
40	2501	3599
41	2553	3526
42	2606	3455
43	2664	3390
44	2723	3328
45	2778	3262
46	2832	3194
47	2887	3127
48	2942	3062
49	2997	2997
50	3054	2934
51	3105	2866
52	3156	2799
53	3213	2737
54	3267	2673
55	3319	2608
56	3371	2543
57	3422	2478
58	3481	2419
59	3561	2374
60	3618	2313
61	3671	2250
62	3727	2188
63	3789	2131
64	3844	2069
65	3895	2006
66	3948	1944
67	3999	1882
68	4051	1820
69	4105	1759
70	4157	1698
71	4209	1636
72	4260	1575
73	4313	1515
74	4366	1455
75	4421	1396
76	4474	1336
77	4529	1277
78	4588	1219
79	4644	1161
80	4700	1102
81	4758	1044
82	4816	986
83	4871	927
84	4923	868
85	4974	809
86	5026	751
87	5078	692
88	5132	634
89	5186	576
90	5242	518
91	5295	460
92	5350	402
93	5403	344
94	5456	287
95	5513	229
96	5563	172
97	5618	114
98	5669	57
99	5720	0
