iter	Passed	Remaining
0	192	19011
1	214	10525
2	237	7687
3	251	6041
4	273	5190
5	291	4568
6	313	4159
7	335	3858
8	356	3605
9	377	3397
10	398	3226
11	419	3076
12	441	2951
13	462	2838
14	482	2735
15	502	2637
16	523	2553
17	542	2472
18	563	2402
19	584	2338
20	606	2282
21	649	2301
22	688	2303
23	720	2282
24	753	2259
25	797	2270
26	832	2252
27	865	2225
28	896	2194
29	927	2163
30	960	2138
31	993	2110
32	1025	2082
33	1062	2063
34	1096	2036
35	1128	2005
36	1159	1974
37	1193	1946
38	1230	1925
39	1283	1924
40	1337	1924
41	1374	1898
42	1408	1867
43	1442	1835
44	1481	1811
45	1523	1788
46	1564	1763
47	1619	1754
48	1669	1737
49	1720	1720
50	1761	1692
51	1783	1646
52	1817	1611
53	1854	1579
54	1887	1544
55	1919	1508
56	1957	1476
57	1993	1443
58	2042	1419
59	2085	1390
60	2131	1362
61	2176	1334
62	2224	1306
63	2251	1266
64	2301	1239
65	2352	1211
66	2388	1176
67	2421	1139
68	2454	1102
69	2488	1066
70	2521	1030
71	2534	985
72	2587	956
73	2620	920
74	2659	886
75	2694	850
76	2738	817
77	2777	783
78	2817	748
79	2862	715
80	2880	675
81	2928	642
82	2985	611
83	3012	573
84	3059	539
85	3104	505
86	3146	470
87	3180	433
88	3203	395
89	3248	360
90	3305	326
91	3342	290
92	3375	254
93	3408	217
94	3443	181
95	3478	144
96	3515	108
97	3551	72
98	3586	36
99	3622	0
